cluster,topic,dept,n,sample,prominence,dept_counts
Innovative Techniques in Nasal and Mandibular Surgery,Mandible Fracture Management and Fixation Techniques,Fisika,3,"[""Complications following miniplate insertion in maxillofacial fractures: a systematic review"", ""Clinical and microscopic evidence of biofilm formation on titanium miniplates applied in maxillofacial surgery: a case series analysis"", ""The Influence of Surface Damage on Miniplates: A Study of Bacterial Attachment Across Various Strains""]",40.1,"{""Fisika"": 2, ""Kimia"": 1}"
Integrating Knowledge Systems in Community Development,Integration and Impact of Enterprise Resource Planning Systems,Ilmu Komputer dan Elektronika,3,"[""A PLS-SEM for ERP Adoption Readiness in Government Organizations: A TOEPP Conceptual Model"", ""A modified of TAM and TTF integration to analyze the effect of ERP implementation on employee performance"", ""Theoretical study of Maxwell's equations in nonlinear optics""]",38.8,"{""Ilmu Komputer dan Elektronika"": 2, ""Fisika"": 1}"
Interplay of Relativity and Quantum Physics,Dynamics of Pendulum Motion and Oscillation,Kimia,3,"[""Comprehensive observations on pendulum oscillation using stereo vision"", ""On non-associative rings"", ""A Unified Derivation of the Lorentz Transformation and the Relativistic Energy and Momentum""]",5.8,"{""Kimia"": 1, ""Belum terpetakan"": 1, ""Fisika"": 1}"
Laser-Based Detection of Gas Concentrations,Photoacoustic Gas Detection Systems,Fisika,3,"[""Application of the CO2 laser photoacoustic spectroscopy in detecting ammonia gas (NH3) in liver disease patient’s breath"", ""Development and application of a three-dimensional pseudo-Voigt function for muon spin relaxation analysis of weakly magnetic materials"", ""Photoacoustic Research Development in Industrial Era 4.0""]",37.2,"{""Fisika"": 2, ""Matematika"": 1}"
Lubricants and Tribological Performance,Innovative Biolubricants from Vegetable Oils,Kimia,3,"[""Evaluation of ethanolamide based nonionic biosurfactant materials from chemically modified castor oil and used palm oil waste"", ""Green synthesis of alkyl 8-(2-butyl-5-octyl-1, 3-dioxolan-4-yl)octanoate derivatives as potential biolubricants from used frying oil"", ""Synthesis of dioxo-dioxane and dioxo-dioxepane ethyl oleate derivatives as bio-lubricant base stocks""]",34.9,"{""Kimia"": 3}"
Lymphoma Pathogenesis and Treatment Insights,Circulating Tumor DNA as a Diagnostic Marker,Belum terpetakan,3,"[""Detection of colorectal cancer in urine using DNA methylation analysis"", ""Transcriptome profile of next-generation sequencing data relate to proliferation aberration of nasopharyngeal carcinoma patients in Indonesia"", ""The Log-normal-Log-logistic Mixture Model Analysis on the Survival Data of Diffuse Large B-Cell Lymphoma""]",88.6,"{""Belum terpetakan"": 1, ""Ilmu Komputer dan Elektronika"": 1, ""Matematika"": 1}"
Machine Learning Applications in Music and Sound,Music Genre Classification through Machine Learning Models,Ilmu Komputer dan Elektronika,3,"[""Audio Enhancement for Gamelan Instrument Recognition using Spectral Subtraction"", ""A Model of Computation-based Naming System for Musical Elements of Java Traditional Song"", ""The Perception of a Tap: Using Auditory Augmented Reality to Alter the Contact Properties of a Physical Object""]",28.9,"{""Ilmu Komputer dan Elektronika"": 2, ""Belum terpetakan"": 1}"
Mangrove Ecosystems and Heavy Metal Pollution Dynamics,Heavy Metal Contamination in Sediment Environments,Fisika,3,"[""Assessment of Heavy Metal Concentrations in Seawater in the Coastal Areas around Daerah Istimewa Yogyakarta Province, Indonesia"", ""Heavy Metals in Surface Sediments of the Coastal Area Around Daerah Istimewa Yogyakarta, Indonesia: Their Relations to Land-Use Types"", ""Seasonal effects on spatial distribution of elements in irrigated stream surface sediments in Brebes, Indonesia: implication for ecological risk""]",75.0,"{""Fisika"": 2, ""Kimia"": 1}"
Matrix Solutions for Differential Equations and Stability,Stochastic Dynamics in Differential Systems and Epidemics,Matematika,3,"[""A minimum principle for stochastic control of hepatitis C epidemic model"", ""Qualitative behaviour of a stochastic hepatitis C epidemic model in cellular level"", ""A Stochastic Hepatitis C Epidemic Model in Cellular Level With a Lévy Noise""]",25.3,"{""Matematika"": 3}"
Medicinal Plant Extracts for Pain Management,Therapeutic Potential of Vitex Compounds and Extracts,Kimia,3,"[""Evaluations of Andrographolide-Rich Fractions of Andrographis paniculata with Enhanced Potential Antioxidant, Anticancer, Antihypertensive, and Anti-Inflammatory Activities"", ""Anti-inflammatory, Antioxidant, and Antibacterial Activities with Molecular Docking Studies of Vitex Trifolia L. Targeting Human COX-2 and Peroxiredoxin-5"", ""Molecular Insight, Antioxidant, and Cytotoxicity Evaluation of Vitex Trifolia Leaves against EGFR L858R/T790M and Wild Type in Lung Carcinoma""]",63.4,"{""Kimia"": 3}"
Membrane Technologies for Water Treatment and Desalination,Membrane Innovations for Water Treatment Applications,Kimia,3,"[""Permeability improvement of polyethersulfone-polietylene glycol (PEG-PES) flat sheet type membranes by tripolyphosphate-crosslinked chitosan (TPP-CS) coating"", ""Preparation, characterization, and in vitro hemocompatibility of glutaraldehyde-crosslinked chitosan/carboxymethylcellulose as hemodialysis membrane"", ""Adsorption of silicate anions from geothermal brine using chitosan-polyethylene glycol composite to prevent silica scaling on the dieng geo dipa geothermal energy system""]",94.1,"{""Kimia"": 3}"
Mycotoxin Detection and Impact on Health,Antifungal Properties of Lactic Acid Bacteria,Kimia,3,"[""Antifungal activity and identification of bioactive peptide from Etawa crossbreed goat (Capra hircus) milk protein hydrolyzed using trypsin enzyme"", ""New Report: Genome Mining Untaps the Antibiotics Biosynthetic Gene Cluster of Pseudoalteromonas xiamenensis STKMTI.2 from a Mangrove Soil Sediment"", ""Antifungal Peptides From Casein Milk of Etawa Crossbreed (Capra hircus) as Biopreservation Agent for Bread and Molecular Docking Studies""]",76.1,"{""Kimia"": 3}"
Nuclear Fuel and Thermal Hydraulics,Safety and Performance in Nuclear Reactor Hydraulics,Ilmu Komputer dan Elektronika,3,"[""A hybrid machine learning approach for improving fuel temperature prediction of research reactors under mix convection regime"", ""Experimental investigation on the thermohydraulic parameters of Kartini research reactor under variation of the primary pump flow"", ""Defect formation energies of Ag- and Sr-doped 3C-SiC: A first-principles study""]",32.8,"{""Ilmu Komputer dan Elektronika"": 2, ""Fisika"": 1}"
Outcomes of Assisted Reproductive Technology in Pregnancy,Amniotic Fluid Dynamics and Pregnancy Outcomes,Ilmu Komputer dan Elektronika,3,"[""Amniotic fluid segmentation based on pixel classification using local window information and distance angle pixel"", ""Pixel Classification Based on Local Gray Level Rectangle Window Sampling for Amniotic Fluid Segmentation"", ""Amniotic Fluids Classification Using Combination of Rules-Based and Random Forest Algorithm""]",33.8,"{""Ilmu Komputer dan Elektronika"": 3}"
Positron and X-Ray Techniques in Material Analysis,Spin-Orbit Coupling in Bismuth Films,Fisika,3,"[""Anomalous optical properties of bismuth ultrathin film using spectroscopic ellipsometry in the visible - Ultraviolet range"", ""First-principles study of electric-dipole-induced Rashba spin-splitting in Janus WSSe"", ""One-dimensional confined Rashba states in a two-dimensional Si2Bi2 induced by vacancy line defects""]",10.9,"{""Fisika"": 2, ""Matematika"": 1}"
Power Electronics Control Systems,FPGA Innovations in Motor Control Systems,Ilmu Komputer dan Elektronika,3,"[""6-DOF Arm Robot Control Using Open-Source FPGA"", ""The Design of 24V DC to 400V DC Converter with Pure Sine Wave Inverter"", ""Resource-Efficient Model Predictive Control on a Low-End Field-Programmable Gate Array for DC Motor Speed Control""]",89.2,"{""Ilmu Komputer dan Elektronika"": 2, ""Matematika"": 1}"
Protein Structures and Enzyme Mechanisms in Bacteria,Copper Protein Complexes in Electron Transport Mechanisms,Kimia,3,"[""3D domain swapping of azurin from Alcaligenes xylosoxidans"", ""Evaluation of xanthone-cinnamates as novel antibacterial agents against Staphylococcus aureus and Escherichia coli: In vitro and molecular docking insights"", ""Synthesis, Activity Test and Molecular Docking of Novel Nitrophenylcalix[4]-2-methylresorcinarene Derivatives as Antimalarial Agent""]",48.2,"{""Kimia"": 2, ""Ilmu Komputer dan Elektronika"": 1}"
Quantum Chemistry and Molecular Interaction Insights,Supramolecular Chemistry and Chromophore Innovations,Kimia,3,"[""5-N-Arylaminothiazoles with pyridyl groups and their first-row transition metal complexes: synthesis, photophysical properties, and Zn sensing"", ""Comprehensive DFTB Investigation of Epoxy-and Hydroxyl-Modified Graphene: Unveiling Electronic Structure and Potassium Ion Interaction"", ""Adsorption Energies of X-Doped Fullerene (X = Si, Sn, BN): A First-Principles Study""]",80.3,"{""Kimia"": 3}"
Quantum Information and Optical State Manipulation,Quantum Trajectories and Bohmian Mechanics Insights,Fisika,3,"[""The symplectic geometrical formulation of quantum hydrodynamics"", ""Wave-field interpretation of quantum mechanics"", ""Quantization Yielding Sharp and Unsharp Observables""]",94.5,"{""Kimia"": 1, ""Fisika"": 2}"
Resilience Strategies for Climate Change and Disasters,Social Media's Role in Disaster Management,Ilmu Komputer dan Elektronika,3,"[""Classifying Natural Disaster Tweet using a Convolutional Neural Network and BERT Embedding"", ""Integrating Multi-Hazard Risk Analysis into Spatial Planning for Small Island: Study Case of Sangihe Island"", ""INDOBERT Embedding for Flood Detection In Indonesia""]",93.5,"{""Ilmu Komputer dan Elektronika"": 1, ""Fisika"": 1, ""Kimia"": 1}"
Robotic Systems for Dynamic Environment Navigation,Visual Odometry and Mapping in Robotics,Ilmu Komputer dan Elektronika,3,"[""Camera-based simultaneous localization and mapping: methods, camera types, and deep learning trends"", ""Enhancing SLAM Accuracy in Urban Dynamics: A Novel Approach with DynaVINS on Real-World Dataset"", ""Collision Avoidance for Autonomous Wheelchair Using Integrated SLAM and YOLO""]",75.2,"{""Ilmu Komputer dan Elektronika"": 3}"
Spectroscopy and Imaging Techniques,Hyperspectral Imaging and Machine Learning in Seed Quality,Ilmu Komputer dan Elektronika,3,"[""Grape drying process using machine vision based on multilayer perceptron networks"", ""Implementation of Size-Based Recognition on Automatic Liquid Filling Machine Using Canny-Edge Detection Method"", ""Application of Photoacoustic Spectroscopy for Glucose Level Measurement: A Literature Review""]",84.2,"{""Ilmu Komputer dan Elektronika"": 3}"
Sperm Quality and Male Fertility Factors,Machine Learning Techniques for Sperm Analysis,Ilmu Komputer dan Elektronika,3,"[""A Dual Architecture Fusion and AutoEncoder for Automatic Morphological Classification of Human Sperm"", ""Predicting the value of sperm analysis using an electronic nose"", ""Novel method to classify varicocele using electronic nose""]",61.2,"{""Ilmu Komputer dan Elektronika"": 1, ""Fisika"": 1, ""Kimia"": 1}"
Starch Properties and Applications in Food Science,Starch Nanoparticles: Properties and Applications,Kimia,3,"[""Physical and chemical characteristic of stem starch and sheath flour from oil palm tree (Elaeis guineensis)"", ""Breadfruit (Artocarpus altilis) starch-based nanoparticle formation through dropwise mixing nanoprecipitation"", ""Zeta potential examination of β-carotene encapsulated in starch-chitosan/tripoly-phosphate microparticles""]",87.1,"{""Belum terpetakan"": 1, ""Kimia"": 2}"
Statistical Models for Copula and Dependence Structures,Dependence Structures in Financial and Environmental Data,Matematika,3,"[""Measuring dynamic dependency using time-varying copulas with extended parameters: Evidence from exchange rates data"", ""PERFORMANCE LOSS IN DEPENDENT SEISMIC RISK MODELS"", ""Determining the optimal window length of the time-varying copula parameter: A simulation study""]",17.7,"{""Matematika"": 3}"
Supercritical Fluid Applications in Extraction Processes,Valorization of Coffee Byproducts for Sustainable Solutions,Kimia,3,"[""The influence of coffee cherry fermentation on the properties of Cascara arabica from Subang, West Java"", ""The Effectiveness of Coffee Waste Ground by Simple Washing on the Adsorption of Methylene Blue"", ""Purification and characterization of catechin from cascara and its evaluation on antioxidant and antibacterial activities""]",55.6,"{""Kimia"": 2, ""Fisika"": 1}"
Synthetic Aperture Radar Technologies,Noncontact Radar Systems for Vital Sign Monitoring,Ilmu Komputer dan Elektronika,3,"[""Non-contact Breathing Patterns Recognition with FMCW Radar by Processing Temporal Information using Transformer Network"", ""RCTrans-Net: A spatiotemporal model for fast-time human detection behind walls using ultrawideband radar"", ""Resource-Efficient Field-Programmable Gate Array Implementation of an Integer Fuzzy Inference System for Conveyor Gear Condition Monitoring""]",92.2,"{""Ilmu Komputer dan Elektronika"": 2, ""Matematika"": 1}"
Targeted Therapies and Genetic Insights in Cancer,Epidermal Growth Factor Receptor Imaging in Lung Tumors,Kimia,3,"[""Synthesis and evaluation of a rociletinib analog as prospective imaging double mutation L858R/T790M in non-small cell lung cancer"", ""Design of new quinazoline derivative as EGFR (Epidermal growth factor receptor) inhibitor through molecular docking and dynamics simulation"", ""In Silico Identification of 2,4-Diaryl-6-styrylpyridine Derivatives as Orthosteric-allosteric EGFR Inhibitors""]",70.5,"{""Kimia"": 2, ""Ilmu Komputer dan Elektronika"": 1}"
Traffic Control Systems for Enhanced Transport Efficiency,Innovative Approaches to Traffic Signal Control,Ilmu Komputer dan Elektronika,3,"[""A3C and A2C performance comparison in intelligent traffic signal controller using Indonesian traffic rules simulation"", ""Comparison of DQN and DDPG Learning Algorithm for Intelligent Traffic Signal Controller in Semarang Road Network Simulation"", ""Influences of Off-Ramp Volumes on Mean Speed Based on METANET Model""]",83.3,"{""Ilmu Komputer dan Elektronika"": 2, ""Matematika"": 1}"
Tuberculosis Treatment and Diagnostic Innovations,Infection Control Strategies for Tuberculosis Among Health Workers,Matematika,3,"[""Implementation of an information system for tuberculosis in healthcare facilities in Indonesia: evaluation of its effectiveness and challenges"", ""Design and prototype of TOMO: an app for improving drug resistant TB treatment adherence"", ""Natural flavonoids in Delonix regia leaf as an antimycobacterial agent: An in silico study""]",72.3,"{""Matematika"": 1, ""Ilmu Komputer dan Elektronika"": 1, ""Kimia"": 1}"
Volatility and Investor Behavior in Financial Markets,Calendar Effects and Market Anomalies in Returns,Matematika,3,"[""Optimal Adaptive Neuro-Fuzzy Inference System Architecture for Time Series Forecasting with Calendar Effect"", ""A Bayesian Markov Switching Autoregressive Model with Time-Varying Parameters for Dynamic Economic Forecasting"", ""Hybrid ARIMAX-ANFIS based on LM Test for Prediction of Time Series with Holiday Effect""]",94.6,"{""Matematika"": 3}"
X-Ray Free Electron Laser Innovations in Accelerator Technology,Superconducting Cyclotron Systems for Ion Acceleration,Fisika,3,"[""Autocorrelation analysis of COVID-19 based on hijri calendar"", ""Study on Proton Beam Extraction System of 13 MeV Cyclotron"", ""Particle tracking simulation for central region optimization in DECY-13 cyclotron""]",18.4,"{""Belum terpetakan"": 1, ""Fisika"": 2}"
Adaptive Learning Systems and Student Engagement,Personalized Learning Systems in E-Learning Environments,Belum terpetakan,2,"[""Enhanced performance of the automatic learning style detection model using a combination of modified K-means algorithm and Naive Bayesian"", ""Learning path recommendation using hybrid particle swarm optimization""]",95.4,"{""Belum terpetakan"": 1, ""Ilmu Komputer dan Elektronika"": 1}"
Additive Manufacturing and Corrosion Resistance,Optimizing Coating Techniques for Magnesium Alloys,Kimia,2,"[""Exploring the effects of cochineal and indigotin extracts on the properties of plasma electrolytic oxidation coating"", ""Effect of plasma electrolytic oxidation duration on catsh bone–derived hydroxyapatite coatings on titanium""]",99.0,"{""Kimia"": 1, ""Fisika"": 1}"
Animal Welfare and Production in Livestock Systems,Animal Welfare and Meat Quality in Slaughter Methods,Kimia,2,"[""Protein Markers Related to Non-halal Slaughtering Process of Rat as Mammal Animal’s Model Detected Using Mass Spectrometry Proteome Analysis"", ""An Acoustic Feature-Based Ensemble Learning Approach for Chicken Health Detection""]",40.7,"{""Kimia"": 1, ""Ilmu Komputer dan Elektronika"": 1}"
Arsenic Contamination in Soil and Water Systems,Arsenic Removal Technologies for Potable Water,Kimia,2,"[""Detoxification of As(III) in aqueous media by using photo-Fenton method"", ""Laundry Wastewater Treatment by Phytoremediation Utilized Polyculture System of Water Lettuce (Pistia stratiotes L.) and Giant Salvinia (Salvinia molesta)""]",91.3,"{""Kimia"": 2}"
Atmospheric Aerosol Emissions and Pollution Dynamics,Radical Reactions and Rate Constants in Atmospheric Chemistry,Fisika,2,"[""Atmospheric Degradation Mechanism of Isoamyl Acetate Initiated by OH Radicals and Cl Atoms Revealed by Quantum Chemical Calculations and Kinetic Modeling"", ""Iterative Filtering and Smoothing with Optical Flow Prediction Models""]",95.4,"{""Fisika"": 1, ""Matematika"": 1}"
Bacillus Proteins and Enzymatic Applications in Biology,Alkaline Proteases in Diverse Industrial Applications,Kimia,2,"[""Three-dimensional structure modeling of a protease from lactic acid bacteria leuconostoc mesenteroides K7 using automated protein homology analysis"", ""Enhancing the Amino Acid and Reducing the Metal Ions Contents in the Hydrolysate Resulting from Hydrothermal Carbonization of Chicken Feather Waste by Chemical Phosphorylation""]",41.4,"{""Kimia"": 2}"
Bioactive Compounds from Marine Fungi,Endophytic Fungi as Sources of Bioactive Compounds,Kimia,2,"[""Potent antibacterial and cytotoxic bioactive compounds from endophytic fungi Diaporthe sp. associated with Salacia intermedia"", ""Phytotoxic and Cytotoxic Polyketides Produced by Fungal Endophytes Isolated from Psidium guajava""]",38.5,"{""Kimia"": 2}"
Biomineralization and Structural Innovations in Materials,Biomimetic Approaches to Calcium Carbonate Crystallization,Kimia,2,"[""Green Preparation of Precipitated Calcium Carbonate from Limestone Without Calcination Step"", ""Fabrication of Calcite Calcium Carbonate from Eggshells Biogenic Waste Through Carbonation Method""]",45.5,"{""Kimia"": 2}"
Blockchain Applications in Energy and Security Systems,Volatility and Prediction in Cryptocurrency Markets,Ilmu Komputer dan Elektronika,2,"[""Prediction of Bitcoin Price Change using Neural Networks"", ""Optimization of tips selection on the IOTA tangle for securing blockchain-based IoT transactions""]",99.1,"{""Ilmu Komputer dan Elektronika"": 2}"
Cellular Mechanisms Linking Diabetes and Cancer Risk,Fenofibrate and PPAR-α in Cancer Therapy,Kimia,2,"[""Molecular target identification of two Coleus amboinicus leaf isolates toward lung cancer using a bioinformatic approach and molecular docking-based assessment"", ""N-aryl oleamides derived from indonesian palm oil as anticancer agents: from in silico design to synthesis and in vitro assay""]",66.8,"{""Kimia"": 2}"
Chronic Kidney Disease and Patient Care Dynamics,Innovative Biosensors for Creatinine Detection,Kimia,2,"[""EDTA-capped silver nanoparticles as a probe for highly sensitive and selective colorimetric sensing of creatinine and optimization using response surface methodology-Box Behnken Design"", ""A novel method utilizing a portable digital image-based colorimeter detector and a glutathione-functionalized gold nanoparticles (GSH-AuNPs) sensor for the highly selective and sensitive detection of creatinine in urine sample""]",80.1,"{""Kimia"": 1, ""Ilmu Komputer dan Elektronika"": 1}"
Climate Change Impacts on Frozen Soil Dynamics,Isotopic Insights into Geological and Biological Processes,Fisika,2,"[""Lithium enrichment in high radiogenic geothermal systems originating from lithospheric water due to water-rock interactions"", ""Study comparison physical properties and minerals analysis of rock magnetic in Lawu Volcanic Complex""]",66.0,"{""Fisika"": 2}"
Control Strategies for Wave Equation Systems,Control Strategies for Linear Infinite-Dimensional Systems,Matematika,2,"[""Strongly continuous quasi semigroups in optimal control problems for non-Autonomous systems"", ""Compensator Design for Non-autonomous Linear Control Systems""]",23.0,"{""Matematika"": 2}"
Corrosion Inhibition Mechanisms in Metal Alloys,Corrosion Inhibitors for Steel Protection and Efficiency,Kimia,2,"[""Quantum chemical and monte carlo simulation studies on inhibition performance of caffeine and its derivatives against corrosion of copper"", ""Corrosion Inhibition Properties of Phenyl Phthalimide Derivatives against Carbon Steel in the Acidic Medium: DFT, MP2, and Monte Carlo Simulation Studies""]",77.5,"{""Kimia"": 2}"
DNA Barcoding and Species Identification Techniques,DNA Techniques for Meat Species Identification,Fisika,2,"[""Sensitive surface plasmon resonance sensor for differentiation of porcine and bovine gelatin using a green-synthesized Ag/rGO-glutaraldehyde nanoplasmonic sensing layer"", ""GENETIC MAKEUP OF THE MEDICINAL PLANT, VITEX SP., BASED ON DNA BARCODING: AN IN-SILICO ANALYSIS""]",27.6,"{""Fisika"": 1, ""Kimia"": 1}"
Digital Forensics and Cybersecurity in Social Media,Digital Forensics in Cloud and Mobile Environments,Ilmu Komputer dan Elektronika,2,"[""The framework to support the digital evidence handling: A case study of procedures for the management of evidence in Indonesia"", ""ABAC as Access Control Solution for Digital Evidence Storage""]",81.7,"{""Ilmu Komputer dan Elektronika"": 1, ""Fisika"": 1}"
Electromagnetic Properties of Advanced Composite Materials,Electromagnetic Shielding Materials in Textiles,Fisika,2,"[""Surface modification of polyester-cotton (TC 70%) fabric by corona discharged plasma with tip-cylinder electrode configuration-assisted coating carbon black conductive ink for electromagnetic shielding fabric"", ""Magnetic properties and microstructural of ion-implanted Gadolia doped Ceria-Barium monoferrite thin film deposited on Kapton for electromagnetic wave absorber application""]",96.3,"{""Fisika"": 2}"
Enzyme Immobilization Techniques for Enhanced Biocatalysis,Enzyme Immobilization Using Nanoparticles,Kimia,2,"[""Immobilization of lipase in silica gel from rice husk ash and its activity assay to hydrolyze palm oil"", ""Inulinase activity of extracellular protein of lactobacillus casei AP in different growth conditions""]",69.4,"{""Kimia"": 2}"
Fluorescent Probes for Reactive Oxygen Species Detection,Hydrogen Sulfide's Role in Cellular Signaling,Kimia,2,"[""Colorimetric Chemosensor for Sulfide Anion Detection Based on Symmetrical Nitrovanillin Azine"", ""Synthesis of Vanillin-Azine as Colorimetric Chemosensor of Sulfide Anion""]",67.8,"{""Kimia"": 2}"
Fullerene Dynamics and Electronic Properties Exploration,Endohedral Fullerenes and Molecular Interactions,Fisika,2,"[""Interaction of C60 with Small Molecules: Adsorption-Inclusion Energy Calculation Using the Density Functional Theory"", ""Adsorption and formation energies of nucleobase-Fullerene: A first-principles simulation""]",9.4,"{""Fisika"": 2}"
Geological Insights into Seismic and Sedimentary Dynamics,Beachrock Formation and Its Coastal Significance,Fisika,2,"[""Investigation of natural beachrock and physical– mechanical comparison with artificial beachrock induced by micp as a protective measure against beach erosion at yogyakarta, indonesia"", ""Identification of geological structure based on gravity satellite and seismicity data in Kepahiang geothermal prospect area""]",19.4,"{""Fisika"": 2}"
Geometric Structures and Curvature in Manifolds,Lagrangian and Hamiltonian Frameworks in Field Theory,Fisika,2,"[""Neother's theorem on quantum hydrodynamics"", ""On the stochastic processes on 7-dimensional spheres""]",15.9,"{""Fisika"": 2}"
Image Classification and Mapping,Hyperspectral Techniques in Mineral Mapping Applications,Belum terpetakan,2,"[""The estimation of iron oxide content in soil based on landsat 8 oli tirs imagery in wetland areas"", ""Microorganism estimation in a shrimp pond using Gaussian process regressor and gradient tree boosting""]",94.7,"{""Belum terpetakan"": 1, ""Ilmu Komputer dan Elektronika"": 1}"
Image Processing Techniques for Enhanced Signal Clarity,Wavelet Transform Techniques for Image Denoising,Matematika,2,"[""Local variance multilevel wavelet thresholding with hybrid CNN for medical image classification"", ""Forecasting train passengers using hybrid of MODWT (maximal overlap discrete wavelet transform) and feed forward neural network""]",38.6,"{""Matematika"": 1, ""Kimia"": 1}"
Innovative Algorithms for Mobile Robot Navigation,Control Strategies for Wheeled Mobile Robots,Matematika,2,"[""Swarm Intelligence Autotune for Differential Drive Wheeled Mobile Robot"", ""A new hybrid parallel genetic algorithm for multi-destination path planning problem""]",82.1,"{""Matematika"": 1, ""Fisika"": 1}"
Innovative Approaches in Acetylcholinesterase Inhibition,Cholinesterase Inhibitors and Alzheimer’s Disease Mechanisms,Kimia,2,"[""A density-functional study of the conformational preference of acetylcholine in the neutral hydrolysis"", ""Acetylcholine Conformational Flexibility and Its Neutral Hydrolysis in Aqueous Solution""]",44.1,"{""Kimia"": 2}"
Innovative Approaches in Diabetes Management and Monitoring,Machine Learning Techniques for Diabetes Prediction,Matematika,2,"[""Enhancing Diabetes Prediction on Imbalanced Data Using RM-SMOTE-Driven KNN Framework"", ""Prognosis of Diabetes Mellitus with Transfer Learning-Based Naïve Bayes Method""]",95.5,"{""Matematika"": 1, ""Ilmu Komputer dan Elektronika"": 1}"
Innovative Approaches in Petroleum Reservoir Management,Porosity and Saturation Models in Reservoir Evaluation,Fisika,2,"[""Reservoirs resistivity correction factor in low resistivity pyritic sandstone reservoirs"", ""Quantifying the Impact of Siderite Composition and Reservoir Resistivity on Water Saturation Estimation in Low-Resistivity Sideritic Sandstone Reservoirs Using the Graphic Plot Method""]",25.6,"{""Fisika"": 1, ""Matematika"": 1}"
Innovative Approaches to Sound Insulation and Control,Microperforated Panels in Sound Absorption Applications,Fisika,2,"[""A Novel Theoretical Modeling for Predicting the Sound Absorption of Woven Fabrics Using Modification of Sound Wave Equation and Genetic Algorithm"", ""Impedance Boundary Conditions on The Optimal Design of the H-Type Cylinder Resonator Using Transmission Matrix Method and Genetic Algorithm""]",31.3,"{""Fisika"": 1, ""Matematika"": 1}"
Innovative Strategies in Supply Chain Management,Optimizing Inventory and Supply Chain Dynamics,Matematika,2,"[""Analysis of the Single-Vendor-Multi-Buyer Inventory Model for Imperfect Quality with Controllable Lead Time"", ""Nash equilibrium for manufacturer-retailer inventory model with perishable goods and time depending holding cost""]",93.8,"{""Matematika"": 2}"
Integrated Approaches to Transport Scheduling Optimization,Optimization Strategies for Railway Timetables and Passenger Flow,Matematika,2,"[""Time-Varying Model Predictive Control for Train Regulation and Passenger Flow in Metro Lines with Sinusoidal Disturbance"", ""Application of model predictive control on metro train scheduling problems""]",33.7,"{""Matematika"": 2}"
Integrating Technology in Teacher Education Practices,Transformative Approaches in Nigerian Educational Technology,Ilmu Komputer dan Elektronika,2,"[""Cognitive Classification Based on Revised Bloom's Taxonomy Using Learning Vector Quantization"", ""Development of the STEM ISCIT model that focuses on professional and pedagogical improvement of prospective physics teachers""]",75.3,"{""Ilmu Komputer dan Elektronika"": 1, ""Kimia"": 1}"
Integration of Electric Vehicles in Smart Grids,Neural Network Innovations in Load Forecasting,Belum terpetakan,2,"[""Indonesian electricity load forecasting using singular spectrum analysis, fuzzy systems and neural networks"", ""High Secure Initial Authentication Protocol based on EPNR Cryptosystem for Supporting Radiation Monitoring System""]",97.6,"{""Belum terpetakan"": 1, ""Ilmu Komputer dan Elektronika"": 1}"
Integration of Electronic Health Records in Patient Care,Interoperability Standards in Healthcare Applications,Matematika,2,"[""Fast Healthcare Interoperability Resources (FHIR)–Based Interoperability Design in Indonesia: Content Analysis of Developer Hub’s Social Networking Service"", ""An Automatic Data Mapping for Interoperability of OpenEMR Medical Practice Management Software Using the Fast Healthcare Interoperability Resources""]",71.0,"{""Matematika"": 1, ""Ilmu Komputer dan Elektronika"": 1}"
Integration of Gene Expression and Protein Interaction Networks,Data-Driven Drug Repurposing and Interaction Networks,Ilmu Komputer dan Elektronika,2,"[""Prediction of the interaction between Calloselasma rhodostoma venom-derived peptides and cancer-associated hub proteins: A computational study"", ""Linked open data for agricultural land evaluation""]",93.7,"{""Ilmu Komputer dan Elektronika"": 2}"
Integrative Framework for Decision-Making Models,Geospatial Strategies for Waste Management Optimization,Kimia,2,"[""EVALUATION OF LANDFILL MANAGEMENT AT PIYUNGAN LANDFILL YOGYAKARTA BY USING INTEGRATED RISK BASED APPROACH METHOD"", ""Multi prime numbers principle to expand implementation of CRT method on RSA algorithm""]",81.6,"{""Kimia"": 1, ""Ilmu Komputer dan Elektronika"": 1}"
Interactions in Particle Physics Models,Resonance Contributions in Nucleon Photoproduction,Fisika,2,"[""A brief history and outlook of hadronic physics in Indonesia"", ""Revisiting the charmonium spectra within the non-relativistic framework using the Matrix Numerov method""]",54.9,"{""Fisika"": 1, ""Ilmu Komputer dan Elektronika"": 1}"
Interactions of Plant Growth-Promoting Rhizobacteria,Volatile Organic Compounds in Plant Microbial Interactions,Kimia,2,"[""Volatile organic compounds of Streptomyces sp. GMR22 inhibit growth of two plant pathogenic fungi"", ""Antiplasmodial activity of the low molecular weight compounds from streptomyces sp. GMR22""]",89.8,"{""Kimia"": 2}"
Interactions of Plasma and Magnetic Fields in Space,Geomagnetic Storms and Their Impact on Power Systems,Fisika,2,"[""Assessment of the Severe Geomagnetic Storm on May 10-11, 2024 Effects on the Geomagnetic Field and Ionosphere Over the Indonesian Region"", ""Characterizing Radiation Belt Electron Flux Behavior During Geomagnetic Storms Driven by CMEs and CIRs""]",21.9,"{""Fisika"": 1, ""Matematika"": 1}"
